"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrps24",575.518581844041,-0.0916393511737125,0.153859896469981,-0.595602579204852,0.551440753235618,0.692429089465772
"Ccdc117",367.125832737825,-0.392786865840323,0.202069712446034,-1.94381860144045,0.0519173297995755,0.120919633415548
"Dynll2",1953.57908082879,-0.169017804618465,0.0924489280989169,-1.82822892697709,0.0675152013555529,0.14933023922166
"Xbp1",1602.74849403173,0.346471061464327,0.129787855723291,2.66951834232478,0.00759601241304409,0.0253128379511019
"Supt4a",559.904477828901,0.0626280848616852,0.163249655192225,0.383633795660649,0.701249887850823,0.808594620478357
"Septin4",7.4784010330498,2.29241153028459,0.901607154857738,2.54258356084841,0.0110036286998305,0.0344239939917245
"2810021J22Rik",160.237796109573,0.0307614286068758,0.167886462784556,0.183227569970017,0.854619462833387,0.914875772415535
"Ska2",957.627012621048,-0.317826100284268,0.141652202125166,-2.24370744341434,0.0248512308853494,0.066840585787308
"Prr11",1200.10329029409,-0.282129903654396,0.148845524267002,-1.89545439840237,0.0580322276954344,0.132376013061835
"Smg8",521.44367012621,0.107037806216322,0.120648412822464,0.887187851976385,0.374977771665872,0.536565973586023
"Rnf187",1922.35554929809,-0.137157013002751,0.131456795441928,-1.04336190869144,0.296780708319931,0.454539756175946
"Tubd1",110.107829185489,0.0139104743306947,0.249234014963339,0.0558129047222584,0.955490854487946,0.973780412607495
"Mrpl22",387.819339352399,0.0683051610185047,0.139804266771806,0.48857708420298,0.625141140015219,0.750231009407648
"Cnot8",992.490013211613,0.243167759508531,0.099651721916889,2.44017619395815,0.0146800999834272,0.0435691480927054
"Rps6kb1",1820.29593746345,-0.0233391634196667,0.114200878797397,-0.204369385467448,0.838064852145364,0.904055223465482
"Sap30l",450.760797615968,-0.581280199159338,0.165719565146854,-3.50761359193908,0.000452145274918322,0.00233738653337695
"Galnt10",1544.84214154166,-0.292407609483618,0.140509111316955,-2.08105799505071,0.0374285980025337,0.0931806578049292
"Rnft1",1152.48473094069,-0.0144634048267551,0.14566503829016,-0.0992922186169648,0.920906256531115,0.954591323141692
