"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Snx32",74.2901889396946,0.741601332926973,0.419543467675543,1.76763885047662,0.0771212987587565,0.17144029342924
"Cfl1",30320.2976781253,-0.404178856594148,0.123937131323897,-3.26116033408799,0.00110957280370484,0.00527967343563822
"Pgpep1",796.882171887033,-0.807491751781037,0.139920103986907,-5.77109170714024,7.87595942309443e-09,1.50209614180482e-07
"Npm3",1170.64441212406,0.358615675099864,0.243156195562787,1.47483667553625,0.140256458398167,0.268841825505176
"R3hdm1",1144.71903663635,0.324786368987132,0.127694224821774,2.54346952213731,0.010975763179658,0.0361428722259577
"Pard6g",805.030987940383,-0.78309651161515,0.108783372145056,-7.1986784025314,6.07989597624187e-13,2.38712340340938e-11
"Lrguk",7.69262670460493,1.06472062432238,1.16952301955459,0.91038877090925,0.362617517572344,0.531874342794205
"Cebpg",920.349382652464,-0.175190040691411,0.135801086413115,-1.2900488892885,0.197033684054084,0.343525857487497
"Pla2g4a",2500.74198106699,-0.0473174244683097,0.119863163256816,-0.394762020145659,0.69301852669359,0.811934778597132
"Cars2",390.584826627503,-0.612376185248982,0.184372364859083,-3.32140983122403,0.000895639167791919,0.00439870864517233
"Ncoa4",2302.2707998169,-0.0882364823755237,0.172949320504086,-0.510186927120301,0.609920509933647,0.750704263364917
"Lrif1",612.715426300637,0.203484541270754,0.129977329953647,1.56553870850649,0.117456648560608,0.235650963769327
"Cep70",167.114030031482,-0.204252930745268,0.234391718516983,-0.871417010966063,0.383526500888381,0.551945172160037
"Dennd1b",396.668569170023,1.0003742450149,0.198364716465288,5.04310576417435,4.58035909525119e-07,5.75863393943209e-06
"Prr9",4.61827093877664,5.562855557804,1.54786225228462,3.59389574207479,0.000325770234548813,0.00186063649606587
"Usp39",1746.62397162132,-0.373151651285529,0.104329491990617,-3.57666508449107,0.000348005575509756,0.00196234831415519
"Tyw1",753.387797759567,0.235201299793123,0.180919028152917,1.30003627697096,0.193588535997525,0.339668014228087
"Tcim",86.497242502937,4.05163673492038,0.581048005568399,6.97298105507986,3.10294425067162e-12,1.11262715274082e-10
"Usp34",4783.21730304344,0.147813662785547,0.0977573647134747,1.51204631199691,0.130522081368728,0.255020624926167
